state,city,lat,lng
MN,Minneapolis,44.9778,-93.2650
MN,Saint Paul,44.9537,-93.0900
MN,Rochester,44.0121,-92.4802
MS,Jackson,32.2988,-90.1848
MO,Kansas City,39.0997,-94.5786
MO,Saint Louis,38.6270,-90.1994
MO,Springfield,37.2090,-93.2923
MT,Billings,45.7833,-108.5007
MT,Missoula,46.8721,-113.9940
NE,Omaha,41.2565,-95.9345
NE,Lincoln,40.8136,-96.7026
NV,Las Vegas,36.1699,-115.1398
NV,Reno,39.5296,-119.8138
NH,Manchester,42.9956,-71.4548
NJ,Newark,40.7357,-74.1724
NJ,Jersey City,40.7178,-74.0431
NJ,Trenton,40.2171,-74.7429
NM,Albuquerque,35.0844,-106.6504
NM,Las Cruces,32.3199,-106.7637
NY,New York City,40.7128,-74.0060
NY,Buffalo,42.8864,-78.8784
NY,Rochester,43.1566,-77.6088
NY,Syracuse,43.0481,-76.1474
NY,Albany,42.6526,-73.7562
NC,Charlotte,35.2271,-80.8431
NC,Raleigh,35.7796,-78.6382
NC,Greensboro,36.0726,-79.7920
NC,Durham,35.9940,-78.8986
ND,Fargo,46.8772,-96.7898
ND,Bismarck,46.8083,-100.7837
OH,Columbus,39.9612,-82.9988
OH,Cleveland,41.4993,-81.6944
OH,Cincinnati,39.1031,-84.5120
OH,Toledo,41.6639,-83.5552
OH,Akron,41.0814,-81.5190
OK,Oklahoma City,35.4676,-97.5164
OK,Tulsa,36.1540,-95.9928
OR,Portland,45.5051,-122.6750
OR,Eugene,44.0521,-123.0868
OR,Salem,44.9429,-123.0351
PA,Philadelphia,39.9526,-75.1652
PA,Pittsburgh,40.4406,-79.9959
PA,Allentown,40.6023,-75.4714
PA,Erie,42.1292,-80.0851
RI,Providence,41.8240,-71.4128
SC,Columbia,34.0007,-81.0348
SC,Charleston,32.7765,-79.9311
SD,Sioux Falls,43.5446,-96.7311
TN,Nashville,36.1627,-86.7816
TN,Memphis,35.1495,-90.0490
TN,Knoxville,35.9606,-83.9207
TN,Chattanooga,35.0456,-85.3097
TX,Houston,29.7604,-95.3698
TX,San Antonio,29.4241,-98.4936
TX,Dallas,32.7767,-96.7970
TX,Austin,30.2672,-97.7431
TX,Fort Worth,32.7555,-97.3308
TX,El Paso,31.7619,-106.4850
TX,Arlington,32.7357,-97.1081
TX,Corpus Christi,27.8006,-97.3964
TX,Lubbock,33.5779,-101.8552
TX,Laredo,27.5306,-99.4803
UT,Salt Lake City,40.7608,-111.8910
UT,West Valley City,40.6916,-112.0010
UT,Provo,40.2338,-111.6585
VT,Burlington,44.4759,-73.2121
VA,Virginia Beach,36.8529,-75.9780
VA,Norfolk,36.8508,-76.2859
VA,Richmond,37.5407,-77.4360
VA,Arlington,38.8816,-77.0910
WA,Seattle,47.6062,-122.3321
WA,Spokane,47.6588,-117.4260
WA,Tacoma,47.2529,-122.4443
WA,Vancouver,45.6387,-122.6615
WV,Charleston,38.3498,-81.6326
WI,Milwaukee,43.0389,-87.9065
WI,Madison,43.0731,-89.4012
WI,Green Bay,44.5133,-88.0133
WY,Cheyenne,41.1400,-104.8202
WY,Casper,42.8666,-106.3131
